Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
11,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
12,46-55 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Environmental quality (air quality, noise levels) ",Walking,15-30 minutes,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
13,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
14,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
15,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Cycle  ,15-30 minutes,1-5 km ,2-3 trips ,Education,"Cost , Travel time, Environmental impact , Safety "
16,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
17,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
18,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
19,26-35 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Walking,15-30 minutes,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
20,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
21,36-45 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Going to multiple locations in same trip"
22,46-55 Years ,Male ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
23,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
24,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends , Environmental quality (air quality, noise levels) ",Autorickshaw/ Cab ,15-30 minutes,5-10 km,2-3 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
25,18-25 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",3,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
26,18-25 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety "
27,26-35 Years ,Male ,Employed Part-Time ,"₹50,001 - ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
28,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Core,Independent House ,5-10 Years ,"Proximity to workplace , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
29,46-55 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
30,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Safety "
31,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Convenience , Environmental impact , Availability of Parking "
32,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
33,36-45 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Core,Apartment/ flat ,3-5 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Availability of Parking , Safety "
34,26-35 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",3,Core,Slum Area ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
35,26-35 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",3,Core,Slum Area ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
36,26-35 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",3,Core,Apartment/ flat ,3-5 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Travel time, Availability of Parking , Safety "
37,26-35 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Safety "
38,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
39,26-35 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Core,Apartment/ flat ,3-5 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Travel time, Availability of options, Availability of Parking , Safety "
40,26-35 Years ,Male ,Employed Part-Time ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
41,46-55 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
42,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
43,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
44,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
45,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
46,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Public Transit (City Bus) ,10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
47,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
48,18-25 Years ,Female ,Employed Part-Time ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
49,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
50,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Going to multiple locations in same trip"
51,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
52,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
53,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Safety "
54,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
55,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
56,26-35 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience "
57,46-55 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Safety "
58,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
59,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
60,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
61,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Cycle  ,10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
62,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,Convenience 
63,26-35 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Apartment/ flat ,3-5 Years ,Proximity to workplace ,Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,Convenience 
64,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",5,Core,Independent House ,3-5 Years ,Proximity to workplace ,Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,Availability of options
65,46-55 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,Proximity to workplace ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Work,Convenience 
66,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Housing affordability , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
67,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",5,Core,Independent House ,3-5 Years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport , Safety , Going to multiple locations in same trip"
68,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",3,Core,Apartment/ flat ,5-10 Years ,Proximity to workplace ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Work,Convenience 
69,18-25 Years ,Female ,Student ,"Above ₹75,000 ",3,Core,Apartment/ flat ,3-5 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Education,Convenience 
70,26-35 Years ,Female ,Unemployed,"Below ₹15,000  ",5,Core,Independent House ,More than 10 years ,"Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,6 or more trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
71,26-35 Years ,Female ,Student ,"₹15,000 - ₹30,000",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Environmental impact "
72,46-55 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",6,Core,Independent House ,5-10 Years ,Housing affordability ,Personal Vehicle (Car) ,15-30 minutes,5-10 km,4-5 trips ,Work,"Travel time, Convenience "
73,36-45 Years ,Female ,Employed Part-Time ,"Below ₹15,000  ",5,Core,Independent House ,More than 10 years ,"Housing affordability , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking , Safety , Going to multiple locations in same trip"
74,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Cycle  ,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
75,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
76,26-35 Years ,Male ,Business ,"Above ₹75,000 ",7,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Walking,Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
77,18-25 Years ,Male ,Homemaker,"₹30,001 - ₹50,000 ",4,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
78,36-45 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
79,56-65 Years ,Male ,Business ,"Above ₹75,000 ",3,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
80,36-45 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,3-5 Years ,Proximity to workplace ,Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Convenience , Availability of Parking "
81,46-55 Years ,Female ,Business ,"Above ₹75,000 ",3,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
82,46-55 Years ,Male ,Homemaker,"₹50,001 - ₹75,000 ",3,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
83,26-35 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Travel time, Convenience "
84,56-65 Years ,Female ,Business ,"Above ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options"
85,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Cycle  ,Less than 10 minutes ,1-5 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety "
86,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",2,Core,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
87,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Environmental impact , Safety "
